"CAS","Compound","Track","AC50_10pct_uM","AED_median","AED_95pct","AED_5pct","SEEM_mg_kg_day","SEEM_l95","SEEM_u95","SEEM_pathway","has_SEEM","n_tc_assays","AC50_med_uM","BER","concern"
"126-73-8","Tributyl phosphate","httk_native",2.38678535287282,0.017605,0.043503,0.0053169,1.987e-05,4.205e-09,0.0124,"Dietary, Industrial",TRUE,96,31.6311600090494,2189.38097634625,"MINIMAL (BER>100)"
"1702-17-6","Clopyralid","httk_native",0.000933254300796991,0.0004355,0.0026142,0.000103145,2.968e-07,9.777e-09,0.0001342,"Unknown",TRUE,21,3.51560440528298,8807.95148247978,"MINIMAL (BER>100)"
"6923-22-4","Monocrotophos","httk_native",0.000699702254050883,0.00082845,0.00308825,0.00023217,1.876e-07,1.006e-08,0.0001949,"Unknown",TRUE,10,31.7570000382596,16461.8869936034,"MINIMAL (BER>100)"
"80-05-7","Bisphenol-a","httk_native",0.320554721416901,0.2442,1.0791,0.034057,5.856e-05,2.467e-07,0.03493,"Dietary, Residential",TRUE,814,21.8776162394955,18427.2540983607,"MINIMAL (BER>100)"
"99-65-0","1,3-dinitrobenzene","httk_native",1.08466620844881,0.19715,0.580535,0.057615,1.853e-05,1.595e-08,0.01702,"Unknown",TRUE,28,24.8461435089418,31329.4657312466,"MINIMAL (BER>100)"
"57-97-6","""7,12-dimethylbenz(a)anthracene""","httk_native",3.30507670610981,0.08135,0.323445,0.0149285,8.279e-06,1.756e-08,0.001025,"Industrial",TRUE,479,21.8776162394955,39068.1241695857,"MINIMAL (BER>100)"
"116-06-3","Aldicarb","httk_native",0.113582834014767,0.028335,0.087783,0.00664105,1.313e-06,3.357e-08,0.0006519,"Pesticide",TRUE,37,6.20869034230064,66856.8164508759,"MINIMAL (BER>100)"
"4707-47-5","Methyl 2,4-dihydroxy-3,6-dimethylbenzoate","httk_native",8.53279975693624,75.645,429.965,10.955,0.0001883,1.152e-09,16.42,"Unknown",TRUE,70,26.9224834761677,2283404.14232607,"MINIMAL (BER>100)"
"50-35-1","Thalidomide","httk_native",0.293656758202943,0.42825,1.9492,0.086257,5.593e-07,6.021e-09,NA,"Unknown",TRUE,6,1.06563988945297,3485070.62399428,"MINIMAL (BER>100)"
"79-95-8","2,2',6,6'-tetrachlorobisphenol a","httk_native",3.2170554299311,0.9039,3.67825,0.16196,3.135e-07,8.022e-09,0.0003698,"Unknown",TRUE,357,22.3872113856834,11732854.8644338,"MINIMAL (BER>100)"
"79622-59-6","Fluazinam","httk_native",0.690241633631606,0.17495,1.0313,0.0184135,6.555e-08,2.858e-09,4.534e-05,"Pesticide",TRUE,526,3.99944749761097,15733028.2227307,"MINIMAL (BER>100)"
"131807-57-3","Famoxadone","httk_native",2.27510346194212,0.63915,2.63345,0.0771215,1.646e-07,8.175e-09,4.722e-05,"Pesticide",TRUE,296,19.2765265886065,15999088.6998785,"MINIMAL (BER>100)"
"101-05-3","Anilazine","httk_native",3.00467662608327,0.51555,2.9376,0.0597415,1.453e-07,3.761e-09,5.928e-05,"Pesticide",TRUE,53,35.4813389233575,20217481.0736407,"MINIMAL (BER>100)"
"625114-41-2","Piragliatin","httk_native",0.688716714158972,3.704,15.2235,0.765615,1.506e-07,4.998e-09,9.114e-05,"Unknown",TRUE,78,1.20020755989304,101085657.370518,"MINIMAL (BER>100)"
"142459-58-3","Flufenacet","httk_native",3.74829656515577,11.31,54.8215,1.83745,1.473e-07,2.346e-08,7.763e-05,"Pesticide",TRUE,162,27.8630581730131,372175831.636117,"MINIMAL (BER>100)"
"443-48-1","Metronidazole","httk_native",9.66704200478917,22.21,98.7185,3.40795,1.219e-07,1.33e-09,5.292e-06,"Unknown",TRUE,6,28.2137201529665,809831829.368335,"MINIMAL (BER>100)"
