Chemical,log10_Clint_pred,SHAP_MW,SHAP_logP,SHAP_Fup
0,0.998,0.10099590884324226,0.11388638251405181,0.010366362357457696
1,1.154,0.3089006801096691,0.11256441221205638,-0.040492453875783804
2,0.488,-0.3367787998448662,0.14678462897833297,-0.09498763147696986
3,0.263,-0.39973813611325365,0.0687170967032736,-0.17830025183440246
4,0.429,0.11220947815018885,-0.29333345793273785,-0.16286954443497198
5,0.931,0.16924962637513374,-0.014171273204523214,0.0034071449026635116
6,0.788,0.15206143211773904,0.042532353023207965,-0.17899409016968326
7,0.93,0.2457435308850274,0.027459746199607227,-0.11609364425991589
8,0.477,-0.33489027488427864,0.19737421913086362,-0.15810010998220828
9,0.451,0.1417695795596715,-0.30673918900243685,-0.15687697089388927
10,-0.199,-0.3821582929230824,-0.3734786776900338,-0.2161314975921573
11,-0.443,-0.5257187263592374,-0.4404742742357695,-0.24945557800643825
12,0.549,0.14954944334579073,-0.28788700668535727,-0.08509127472496437
13,1.443,0.21007550139835002,0.19314944355272992,0.26708749879368027
14,1.708,0.20920786025253826,0.2480589683523658,0.4782423112366392
15,0.87,0.2313494208118217,0.044281344572470606,-0.178162544264096
16,0.957,0.18055795858358345,-0.0028024104001160934,0.006280114120613031
17,1.297,-0.25758022490752597,0.28228129745385483,0.4997469596833448
18,1.321,0.17560439436131603,0.04485310168067768,0.32759159935491927
